place,Peak Season,Moderate Season ,Off Season 
udaipur,Oct-Mar,Jul-Sep,Apr-Jun
vrindavan,Oct-Mar,Apr-Jun,Jul-Sep
shimla,Mar-Jun,Oct-Feb,Jul-Sep
maldives,Jan-Apr,Oct-Dec,May-Sep
alleppey,Nov-Feb,Mar-Apr,May-Oct
gulmarg,Dec-Mar,Apr-Jun,Jul-Nov
mysore,Oct-Feb,Mar-Jun,Jul-Sep
varkala,Oct-Mar,Apr-May,Jun-Sep
pushkar,Oct-Mar,Apr-Jun,Jul-Sep
havelock,[],[],[]
jaipur,Oct-Mar,Apr-Jun,Jul-Sep
gokarna,Oct-Mar,Aug-Sep,Apr-Jul
bhubaneswar,[],[],[]
kochi,Oct-Mar,Apr-Jun,Jul-Sep
andaman,[],[],[]
aurangabad,[],[],[]
manali,Mar-Jun,Sep-Feb,Jul-Aug
gangtok,Mar-Jun,Oct-Feb,Jul-Sep
agra,Oct-Mar,Jul-Sep,Apr-Jun
shillong,Mar-Jun,Nov-Feb,Jul-Oct
pondicherry,Oct-Mar,Apr-Jun,Jul-Sep
mathura,[],[],[]
amritsar,Oct-Mar,Jul-Sep,Apr-Jun
dalhousie,Apr-Jun,Jul-Nov,Oct-Mar
baroda,[],[],[]
kolkata,Oct-Feb,Mar-Apr,May-Sep
lucknow,[],[],[]
munnar,Sep-Mar,Apr-May,Jun-Aug
goa,Nov-Mar,Jul-Oct,Apr-Jun
coorg,Oct-Feb,Mar-May,Jun-Sep
kovalam,[],[],[]
hyderabad,Oct-Mar,Apr-Jun,Jul-Sep
darjeeling,Apr-Jun,Jul-Nov,Oct-Mar
kutch,Nov-Feb,Mar-Apr,May-Oct
wayanad,Nov-Feb,Mar-May,Jun-Sep
srinagar,Mar-Jun,Jul-Sep,Oct-Feb
auli,Oct-Feb,Mar-Jun,Jul-Nov
gwalior,[],[],[]
lakshwadeep,[],[],[]
alibaug,Oct-Feb,Mar-Jun,Jul-Sep
rishikesh,Oct-Feb,Mar-May,Jun-Sep
mussoorie,Mar-Jun,Oct-Feb,Jul-Sep
ooty,Oct-Mar,Apr-May,Jun-Sep
leh,Mar-Jun,Sep-Feb,Jul-Aug
delhi,Oct-Mar,Apr-Jun,Jul-Sep
jodhpur,Oct-Mar,Apr-Jun,Jul-Sep
manikaran,[],[],[]
malvan,[],[],[]
